id,text,is_hate
18039429748908552,O óbvio precisa ser dito 😑,False
18043232881878820,É isso! ❤️👏🏾👏🏾👏🏾,False
17843309373246140,Dá-lhe galera! Colocar as cartas na mesa e ter que explicar tim-tim por tim-tim pra essa galera oportunista que copia conteúdo ótimo e didático para se fazer em cima. Vida longa ao podcast e vida longa à nossa jornada!,False
18049540808601147,"Olhar esse vídeo e pensar ""caralho....eu não tô sozinha""....da uma sensação de conforto e tranquilidade... obrigada por isso gente♥️♥️",False
18033689821852676,Kid,False
17883087018066570,Porta do inferno abriu,False
18048569683703257,❤️❤️,False
17857113444144114,Viva o amor 🩷❤️🖤💛🤍🧡,False
18026288252134114,"Já quero muito ouvir, amei!",False
18017745383343339,Eu amey!!!!! ❤️❤️❤️,False
18030412622041741,Eu era de um casal unicórnio.. mas levei chifre de verdade💔🥲,False
18033988024982965,❤️❤️,False
18033898660996056,aaaaaah q delícia!!!!! ❤️😍,False
17863307160155254,Viva a diversidade ❤️,False
18022179740216582,Lindas! 😍❤️,False
18057250543612209,Adoreiiii,False
18053223802644167,Episódio das Unicornias!! ❤️❤️❤️,False
18018903119080314,Episódio das Unicornias!! ❤️❤️❤️,False
18048970222684965,Lindaaas!! 💚,False
18033364811003573,O amor mão tem rótulos!!!❤️❤️,False
18075592330500782,Aaaaah 😍,False
18024433553331366,Me identifico muito com o assunto tratado neste este episódio.❤️,False
18046701364756055,"O episódio que eu mais ri fazendo, foi muito bom!! 😍",False
18037109743791188,😂😂😂😂😂😂😂😂😂😂😂😂😂😂,True
18066570061536608,"Está na hora de TODOS começarem a RESPEITAR a vivência pessoal de cada pessoa trans. Eu sou uma mulher trans que também sou 100% feliz, satisfeita, completa e realizada com a minha genital de nascença, se isso acontece com muitas travestis pq tá tá dificuldade em aceitar que homens trans também podem se sentir confortáveis e amarem as suas genitais de nascença? Gente, pelo amor de Deus, não dá pra tentar abrir a mente para algumas coisas e se manter preconceituosos para outros, a empatia e o respeito não pode ser seletivos, se a pessoa não está ofendendo o seu direito de ser e existir, então não faça isso com ele também. Pessoas trans existem SIM e nem sempre elas desejam mudar de genital, cada um tem uma vivência pessoal e essa vivência DEVE SER RESPEITADA.",False
18292135822164227,Concordo! Chega de transfobia!!!!!,False
18025116260182779,"Se aceitem etc, cria configurações dentro da própria comunidade agora falar criança trans daí já perde a moral",True
18025439917980999,Boyceta poder ❤️🔥,False
18035256820986273,No fim é sobre isso: aceitar o corpo e subverter a norma que fixa gênero a genitálias.,False
18042708214721412,[MENTION],False
18067297405532760,Meu bar sapatão favorito em SP,False
18041729824878398,"Mente vazia, oficina de Esquerdista",False
17945178590811982,"Pois eu sou sapatão, desfem, com muito orgulho.",False
17966734805744020,Eu quero,False
18025110827134863,"Fiquei pensando na história da mulher que se sentiu ofendida… entendo o desconforto que a perspectiva dela causa pra quem está ativamente envolvido com o processo de ressignificação, mas Até aqui, ela só viveu a palavra como ofensa e não como empoderamento… acho que entender o estranhamento dela, acolher e abrir o diálogo também nos ajuda nessa reconstrução",False
18025216685175422,[MENTION],False
17847929133226385,🔥🔥o bar perfeito existe,False
18032441140999917,Eu quero,False
18439147195055815,Eu quero,False
18027591122504226,"Cabe todo Mundo !!!! 🏳️‍🌈 A sapatão , a “feminina” , o gay , a gay… a nova, a velha ! O que não cabe é o preconceito, seja ele homofóbico,…. etarista !",False
18052386787635299,Eu quero,False
18029600156107484,Se tem cerveja gelada e copo americano para mim já tá ótimo,False
18308953063153288,"Achei problemático se sentir ofendida por se considerar feminina. Então as desfem seriam menos oq, nessa visão?",False
17858298003176279,Ressignificar para não se limitar,False
18043133299834327,Legal demais,False
17934550703850199,Existe tb o Tomboy,False
18042629902847495,Prefiro ser entendida kkkkk,False
